COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
AUS,Australia,1683.27,54391.75744,311105.80000000005,1282060000000.0,35.8,0.0,3.055814795,0.0,2014,7.288550377000001,10.68160057,0.92379874,72.59999847,0.9229322670000001,0.31003502,0.44202137,0.775209963,0.245304301,0.464676231,1.196954012,1.81184423,1.7954154009999999,0.24633367399999997,,0.34275,0.451516807,,0.478149384,,0.39449206,,0.461379021,0.518140078
AUT,Austria,1516.0,50082.84861,161495.70000000004,408881000000.0,30.5,0.0,103.56332420000001,0.0,2014,6.9499998089999995,10.69920254,0.8989204759999999,71.95999908,0.8850268720000001,0.11564018599999999,0.566931307,0.7796927690000001,0.17014955,0.40769541299999995,1.331010818,1.6218787430000001,1.836291671,0.264214635,0.305,0.302692308,0.344870776,,,,,,,
BEL,Belgium,1545.0,52514.32761,214591.69999999998,500592000000.0,28.1,0.0,370.180218,0.0,2014,6.855329037000001,10.63007927,0.9435491559999999,71.27999878,0.86095351,-0.001687139,0.511975765,0.797633767,0.251557052,0.46911162100000003,1.033804297,1.40902257,1.681074142,0.245221511,0.281,0.284307692,0.402563632,,,,,,,
CAN,Canada,1710.0,48717.527760000004,521994.3,1784650000000.0,0.0,0.0,3.907770267,0.0,2014,7.30425787,10.67079449,0.9178363079999999,72.83999634,0.93889761,0.262353837,0.441735327,0.833403885,0.25860241100000003,0.516953588,1.293931961,1.8331633809999999,1.759425759,0.24087673399999998,,0.3368,0.6790111059999999,,,,,0.38546919799999996,0.418500453,
CHE,Switzerland,1575.3,64284.54003,132020.69999999998,625702000000.0,32.5,0.0,207.2236258,0.0,2014,7.492803574,10.95462418,0.958796322,73.05999756,0.949401438,0.054532632000000004,0.283089578,0.8229132290000001,0.188794166,0.75163132,1.481070995,2.016315699,1.5247849230000001,0.203499913,0.325,0.3281,0.328428507,,,0.265255481,0.378479093,,0.518936038,
CHL,Chile,1990.0,26803.54588,208044.30000000002,258594000000.0,0.0,0.0,23.68936005,0.0,2014,6.844238281,10.00763416,0.861552179,69.45999908,0.733326375,0.20803766,0.758497715,0.86981076,0.276103258,0.39953002299999996,0.751715839,1.39434886,2.064368248,0.301621318,,0.491571429,0.42640501299999994,,,0.22066666199999999,0.213770002,0.221766666,0.12470907699999999,0.126401633
CZE,Czech Republic,1777.0,23324.261319999998,217216.4,214124000000.0,25.9,0.0,136.30338,0.0,2014,6.4837298389999996,10.27916718,0.877915204,68.66000366,0.800421,-0.169764236,0.8968806859999999,0.6784069540000001,0.23522056600000002,0.339732826,1.008328915,0.885882437,2.031708002,0.31335482,0.259,0.26416666699999997,0.24481281600000002,,,0.302275181,0.285191953,,,
DEU,Germany,1366.9,47010.04711,1742284.7000000002,3654920000000.0,0.0,0.0,232.1080539,0.0,2014,6.984214306,10.68190861,0.937558949,71.22000122,0.8986834290000001,0.083833963,0.473952919,0.785408497,0.187844872,0.601368845,1.180758357,1.782412052,1.664546013,0.238329738,,0.306222222,0.454417616,,,,0.321322799,,0.343591362,0.447487652
DNK,Denmark,1414.0,53260.744060000005,107111.0,335436000000.0,28.4,0.0,134.4004525,0.0,2014,7.5075592989999995,10.71568489,0.956344306,71.27999878,0.941572249,0.11341865400000001,0.237218335,0.8324829340000001,0.232612774,0.457836896,1.238178492,1.962424636,1.669512272,0.22237749399999998,0.284,0.267,0.46938821700000005,,,,,,,
ESP,Spain,1694.6,39397.76735,796201.2999999999,1371020000000.0,36.1,98.09371948,92.92273645,0.0,2014,6.456477642,10.34802628,0.947864413,73.37999725,0.738472342,-0.031811371,0.8538879159999999,0.7162659170000001,0.335460007,0.210619807,0.6184236999999999,0.873171568,1.761917591,0.272891462,0.361,0.345384615,0.423291177,,,0.292382956,0.286672652,0.32690984,0.19837963600000003,0.19077895600000003
EST,Estonia,1795.0,22570.84161,37568.1,22942757718.0,34.6,0.0,30.24028065,0.0,2014,5.55598259,10.20779419,0.917101741,67.73999786,0.773327112,-0.15770036,0.652447462,0.6804306509999999,0.203439116,0.414985895,0.97528398,1.342396259,1.858400702,0.334486425,0.34600000000000003,0.332461538,0.36307889200000004,,,,0.21057786,,,0.389869928
FIN,Finland,1562.0,43229.09351,110024.9,247075000000.0,26.8,0.0,17.97200303,0.0,2014,7.384571075,10.57176685,0.952016532,71.36000061,0.933043957,-0.005278334,0.265479892,0.7841095920000001,0.198813885,0.468558848,1.412057161,2.037089586,1.608321071,0.21779479100000002,0.268,0.275615385,0.429592639,,0.5717192289999999,,0.479229987,,0.5803785920000001,
