COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
AUS,Australia,1692.55,54226.18947999999,298148.49999999994,1217930000000.0,0.0,0.0,2.95920037,0.0,2012,7.195585727999999,10.66322899,0.9445990320000001,72.40000153,0.935146272,0.265168518,0.368251741,0.810741782,0.214396909,0.420419186,1.248593807,1.79015696,1.761226296,0.24476482,,0.34275,0.40605643399999997,,0.478149384,,0.39449206,,0.461379021,0.518140078
AUT,Austria,1540.0,49835.11427,164068.4,406092000000.0,30.5,0.0,102.11486540000001,0.0,2012,7.400688647999999,10.70440388,0.9451423879999999,71.68000031,0.919703901,0.11593899099999999,0.770585775,0.8222477440000001,0.15667499599999998,0.376573861,1.39467001,1.586992741,1.7226686480000002,0.232771397,0.305,0.302692308,0.323470145,,,,,,,
BEL,Belgium,1560.0,51550.58104,223587.00000000003,493399000000.0,27.5,0.0,366.8075297,0.0,2012,6.935122012999999,10.62246037,0.92711705,71.04000092,0.8552666309999999,-0.053328025999999994,0.7575725320000001,0.820485771,0.23827680899999998,0.44011718,1.136510849,1.466563344,1.834067941,0.264460802,0.275,0.284307692,0.327320158,,,,,,,
CAN,Canada,1722.0,47275.53082,497379.39999999997,1693190000000.0,0.0,0.0,3.821466628,0.0,2012,7.415144444,10.64052105,0.9481283429999999,72.51999664,0.9179611209999999,0.28257176300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,,0.3368,0.884413838,,,,,0.38546919799999996,0.418500453,
CHE,Switzerland,1603.2,63207.26367000001,132810.69999999998,599638000000.0,31.6,0.0,202.3701995,0.0,2012,7.776208877999999,10.93577576,0.94686389,72.77999878,0.9454280140000001,0.13308765,0.323240787,0.8591072559999999,0.176007092,0.769940197,1.529229045,1.879036784,1.564780593,0.201226667,0.316,0.3281,0.308629304,,,0.265255481,0.378479093,,0.518936038,
CHL,Chile,2024.0,25914.9183,201651.49999999997,244226000000.0,0.0,0.0,23.2804308,0.0,2012,6.599128723,9.967881203,0.8552355770000001,69.18000031,0.7336109279999999,0.18632897699999998,0.7821174259999999,0.815391183,0.287592113,0.34326779799999996,0.7040236590000001,1.4441723819999999,2.12383008,0.32183492199999997,,0.491571429,0.466741949,,,0.22066666199999999,0.213770002,0.221766666,0.12470907699999999,0.126401633
CZE,Czech Republic,1776.0,23089.6502,222527.8,209477000000.0,26.1,0.0,136.0971773,0.0,2012,6.334149361000001,10.25861073,0.91242677,68.37999725,0.739808738,-0.155507952,0.956799686,0.609040797,0.256508142,0.169811338,1.012242913,0.825533271,2.028648853,0.320271701,0.261,0.26416666699999997,0.288669348,,,0.302275181,0.285191953,,,
DEU,Germany,1375.0,45725.15818,1744787.5999999999,3559590000000.0,0.0,0.0,230.75062549999998,0.0,2012,6.7023620610000005,10.66480923,0.926406622,71.05999756,0.9044404629999999,0.066865228,0.67923671,0.803739309,0.169576168,0.5169281960000001,1.084679604,1.656006575,1.830847383,0.273164511,,0.306222222,0.405439347,,,,0.321322799,,0.343591362,0.447487652
DNK,Denmark,1423.0,51923.10356,109369.5,327039000000.0,27.8,0.0,133.1643725,0.0,2012,7.519909382000001,10.69957066,0.951437175,70.83999634,0.932627916,0.13419172199999999,0.187407613,0.7737635970000001,0.20856951199999998,0.534252763,1.29451251,2.01157999,1.702373385,0.22638216600000002,0.278,0.267,0.365274489,,,,,,,
ESP,Spain,1701.2,39301.60485,810612.5,1375820000000.0,35.4,97.89453888,93.50683713,0.0,2012,6.290690422000001,10.34525871,0.937023342,73.13999939,0.7545861009999999,-0.06326709700000001,0.8435930009999999,0.749276638,0.36647447899999996,0.339146554,0.5173311829999999,1.0666815040000002,2.038798571,0.324097753,0.354,0.345384615,0.359645665,,,0.292382956,0.286672652,0.32690984,0.19837963600000003,0.19077895600000003
