COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
AUT,Austria,1511.0,50851.39713,171632.6,432754000000.0,0.0,0.0,106.6074453,0.8,2017,7.293727875,10.72407532,0.9062178129999999,72.69999695,0.8900305629999999,0.131114438,0.518303812,0.747568727,0.18026872,0.43590793,1.189480543,1.5593127009999999,1.5610619780000001,0.21402800100000002,,0.302692308,0.322941631,,,,,,,
CZE,Czech Republic,1784.0,25804.10436,228889.99999999997,241074000000.0,0.0,0.0,137.1981093,0.8,2017,6.789567947,10.39224911,0.900968969,69.80000305,0.8317855,-0.178765178,0.866524994,0.738743961,0.22664979100000002,0.343870819,0.99339664,0.985034347,1.697134495,0.249962077,,0.26416666699999997,0.282945663,,,0.302275181,0.285191953,,,
HUN,Hungary,1741.3,22492.67745,270917.7,153629000000.0,0.0,0.0,108.1184801,1.0,2017,6.065038681,10.19531918,0.8767475490000001,67.19999695,0.6611659529999999,-0.145813331,0.886361301,0.735184252,0.18092127100000002,0.377770513,0.589618564,0.445649564,1.7924091819999999,0.295531362,,0.29791666699999997,0.330753207,,0.331434399,,0.22461538,,0.28884217100000004,
ISL,Iceland,1483.0,64415.10845,8498.2,17512773948.0,0.0,0.0,3.4254364089999996,0.8,2017,7.476213932,10.74684143,0.966752827,73.0,0.938783288,0.24332368399999998,0.7268453840000001,0.895254552,0.148160011,0.36504194100000004,1.3744952680000002,1.5818408730000002,1.6300908330000001,0.21803695,,0.280833333,0.33243790300000003,,,,,,,
LTU,Lithuania,1608.0,25207.13875,88016.70000000001,47626186104.0,0.0,0.0,45.15186156,1.6,2017,6.272940636,10.292967800000001,0.9263166190000001,66.69999695,0.749307334,-0.177641675,0.7897098659999999,0.607613146,0.19511883,0.32124728,0.8829061990000001,0.920204639,2.175804377,0.346855581,,0.355,0.428504139,,,,0.213082254,,,
