COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
AUS,Australia,1699.94,52252.979439999996,290956.7,1144260000000.0,34.7,0.0,2.867858584,1.0,2010,7.450047016,10.63258171,0.95451957,72.19999695,0.932058573,0.308317155,0.36612740200000005,0.8342362640000001,0.22007320800000002,0.609752893,1.154312849,1.8158979419999999,1.737801909,0.233260527,0.34700000000000003,0.34275,0.412946343,,0.478149384,,0.39449206,,0.461379021,0.518140078
AUT,Austria,1557.0,50096.714439999996,159582.5,391893000000.0,30.3,0.0,101.2874302,1.0,2010,7.302678585,10.67674351,0.9141933320000001,71.40000153,0.8959797620000001,0.129111528,0.546144843,0.8147191999999999,0.155792549,0.48644661899999997,1.291469574,1.6700849530000001,1.7532476190000001,0.240082815,0.303,0.302692308,0.367440253,0.30066517,,,,,,
BEL,Belgium,1546.0,50872.487,215724.9,483548000000.0,28.4,0.0,359.82780710000003,1.0,2010,6.853514194,10.62342072,0.930570185,70.80000305,0.806930244,0.018612977,0.697365582,0.8282585140000001,0.24036432800000002,0.33651647,1.085666656,1.4451680180000002,1.603352189,0.23394599600000002,0.284,0.284307692,0.393780649,0.306120813,,,,,,
CAN,Canada,1715.0,45502.56024,484400.89999999997,1613460000000.0,33.6,0.0,3.7395102660000004,1.1,2010,7.650346279,10.6139679,0.9537654520000001,72.19999695,0.933948815,0.22300235899999998,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.336,0.3368,0.710133135,,,,,0.38546919799999996,0.418500453,
CHL,Chile,2070.0,24960.82175,200287.59999999998,218538000000.0,0.0,0.0,22.85490508,1.6,2010,6.63565588,9.875193596,0.85695523,68.90000153,0.7863674759999999,0.099339187,0.701824725,0.8091729879999999,0.300116688,0.478705615,0.887606621,1.385960937,2.18349123,0.329054326,,0.491571429,0.452481776,0.148860931,,0.22066666199999999,0.213770002,0.221766666,0.12470907699999999,0.126401633
CZE,Czech Republic,1800.0,22944.4926,219905.7,207478000000.0,26.6,0.0,135.6086225,1.1,2010,6.249617577,10.25248623,0.934161127,68.09999847,0.77911222,-0.043541737000000004,0.925964117,0.641369283,0.244084343,0.334044516,1.002025723,0.87146008,1.8815426830000002,0.301065236,0.266,0.26416666699999997,0.26753065,0.274264157,,0.302275181,0.285191953,,,
DEU,Germany,1389.9,44451.21699,1723150.9000000001,3417090000000.0,30.2,0.0,234.6069082,0.9,2010,6.724531174,10.60729599,0.9393086429999999,70.90000153,0.842656434,0.091027394,0.688005984,0.793705821,0.182344139,0.395424008,1.047308922,1.637933135,1.861712337,0.276853859,0.302,0.306222222,0.465919226,,,,0.321322799,,0.343591362,0.447487652
DNK,Denmark,1422.0,52263.8567,113719.09999999999,321995000000.0,27.2,0.0,130.74906909999999,0.8,2010,7.770515442000001,10.69190979,0.9749770759999999,70.40000153,0.943630815,0.23789697899999998,0.174896091,0.7848266359999999,0.154562935,0.586689413,1.291459084,2.057426929,1.5172172780000002,0.19525310399999998,0.272,0.267,0.434082836,0.620493472,,,,,,
ESP,Spain,1710.4,41034.3406,768714.2000000001,1431620000000.0,35.2,97.74890137,93.15193096,1.0,2010,6.188262462999999,10.38921356,0.9499403829999999,72.90000153,0.7964955570000001,-0.142079473,0.839746296,0.724312365,0.321819484,0.302731603,0.402249694,1.1071056129999999,1.9958159919999998,0.322516382,0.35200000000000004,0.345384615,0.37962049200000003,,,0.292382956,0.286672652,0.32690984,0.19837963600000003,0.19077895600000003
FIN,Finland,1592.0,43535.17087,107176.79999999999,247800000000.0,27.7,0.0,17.64841066,1.0,2010,7.393264294,10.59283066,0.935481369,70.40000153,0.916009128,0.086498298,0.41251570000000004,0.832108617,0.20209465899999998,0.46184361,1.4551599030000002,2.0583732130000003,1.6717381480000002,0.22611637399999998,0.27699999999999997,0.275615385,0.403238714,0.585067153,0.5717192289999999,,0.479229987,,0.5803785920000001,
