COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
AUS,Australia,1673.4,53971.597460000005,320917.6,1349300000000.0,0.0,0.0,3.1449355310000002,0.0,2016,7.250080109,10.7030983,0.942334235,73.0,0.922315717,0.229792744,0.39854511600000003,0.790868282,0.236085787,0.452731758,1.199453712,1.759352803,1.6988278630000002,0.234318495,,0.34275,0.520914137,,0.478149384,,0.39449206,,0.461379021,0.518140078
AUT,Austria,1512.0,50906.020280000004,166333.5,421989000000.0,0.0,0.0,105.86949340000001,0.0,2016,7.048071861,10.70244312,0.9263185859999999,72.40000153,0.888513982,0.078159958,0.52364099,0.755902588,0.19742384600000001,0.43263822799999996,1.12349689,1.579037547,1.7044001819999999,0.241825029,,0.302692308,0.292294294,,,,,,,
BEL,Belgium,1545.0,51951.715,221315.7,516766000000.0,0.0,0.0,374.22133419999994,0.0,2016,6.948936462000001,10.64741421,0.9289640779999999,71.59999847,0.865759015,-0.058440432,0.49665909999999996,0.764590085,0.259653389,0.41917750200000004,0.909132481,1.4242153169999998,1.497023702,0.215432063,,0.284307692,0.34862980200000004,,,,,,,
CHE,Switzerland,1589.7,64063.942489999994,134175.89999999997,644197000000.0,0.0,0.0,211.8974034,0.0,2016,7.458519936,10.95817471,0.9276282790000001,73.5,0.933947086,0.083161391,0.301562965,0.779470801,0.20631672399999998,0.7985367179999999,1.419003606,1.964175105,1.694410086,0.22717779899999999,,0.3281,0.5107927320000001,,,0.265255481,0.378479093,,0.518936038,
CHL,Chile,1974.0,27655.34315,212923.30000000002,267904000000.0,0.0,0.0,24.08740074,0.0,2016,6.579056262999999,10.02634144,0.841388166,69.69999695,0.652289748,0.09289977,0.858124971,0.8692288990000001,0.283042103,0.203538865,0.704101682,1.164838195,1.9862554069999998,0.301905811,,0.491571429,0.48013857,,,0.22066666199999999,0.213770002,0.221766666,0.12470907699999999,0.126401633
CZE,Czech Republic,1779.0,24778.2455,221372.90000000002,231018000000.0,0.0,0.0,136.8341362,0.0,2016,6.735627173999999,10.3526144,0.930592895,69.30000305,0.8503282670000001,-0.199620038,0.900430739,0.755701959,0.201041639,0.415120721,1.000417948,0.9032307270000001,1.682170749,0.249742255,,0.26416666699999997,0.29053387,,,0.302275181,0.285191953,,,
DEU,Germany,1362.8,48709.63953,1827480.5,3801860000000.0,0.0,0.0,235.71292940000004,0.0,2016,6.873763084,10.70171165,0.906029284,71.59999847,0.8705150490000001,0.144377634,0.445922136,0.7377459409999999,0.187254936,0.5526135560000001,1.022540092,1.754329681,1.775906086,0.258360088,,0.306222222,0.354512513,,,,0.321322799,,0.343591362,0.447487652
ESP,Spain,1701.5,39860.34697,825854.5000000001,1466070000000.0,0.0,98.25051117,93.04827901,0.0,2016,6.318612099,10.41392422,0.941736817,73.80000305,0.7681737540000001,-0.051830858,0.8185585740000001,0.6528161170000001,0.300829351,0.30251666899999996,0.727092505,0.9048023820000001,1.6061495540000001,0.254193395,,0.345384615,0.384632498,,,0.292382956,0.286672652,0.32690984,0.19837963600000003,0.19077895600000003
EST,Estonia,1791.0,24691.29576,37222.6,24194442664.0,0.0,0.0,30.2689211,0.0,2016,5.649675369,10.24387455,0.937715113,68.19999695,0.842770696,-0.153377563,0.6390852929999999,0.72625488,0.176869258,0.33983430299999995,0.94091773,1.323766232,1.753086329,0.310298592,,0.332461538,0.343596786,,,,0.21057786,,,0.389869928
FIN,Finland,1560.0,43968.93163,113162.29999999999,255195000000.0,0.0,0.0,18.08200783,0.0,2016,7.659843445,10.58807755,0.9539404509999999,71.69999695,0.948372185,-0.030627485,0.249659568,0.797325075,0.18199844699999998,0.485727251,1.2653723959999998,1.975339055,1.479018688,0.193087325,,0.275615385,0.39482122700000005,,0.5717192289999999,,0.479229987,,0.5803785920000001,
GBR,United Kingdom,1545.0,44465.81826,1199446.5,2768240000000.0,0.0,0.0,271.134481,0.0,2016,6.824283599999999,10.57921696,0.954068184,71.90000153,0.821192145,0.24597170899999998,0.45831328600000004,0.775853157,0.22958678,0.40863207,0.827514887,1.738277197,1.628819704,0.23867996,,0.341083333,0.38293179899999996,,,,0.304498315,,0.300558358,
GRC,Greece,1942.0,26506.09185,243478.7,244251000000.0,0.0,0.0,83.5994647,0.0,2016,5.302619457,10.09459305,0.802605867,72.0,0.481616855,-0.26143381,0.898470819,0.700504363,0.33620750899999996,0.13248655199999998,0.27343174800000003,0.097654387,2.317297935,0.43701005,,0.346384615,0.317848623,,,,,,,
HUN,Hungary,1760.0,21077.55692,261443.6,147526000000.0,0.0,0.0,108.40630729999998,0.0,2016,5.448901652999999,10.15285015,0.899511576,66.80000305,0.55395174,-0.19341144,0.924185812,0.66591078,0.24332577,0.30377233,0.527955234,0.394931078,1.845377684,0.338669658,,0.29791666699999997,0.301498115,,0.331434399,,0.22461538,,0.28884217100000004,
