COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
AUS,Australia,1699.92,53905.77401,297909.0,1172310000000.0,0.0,0.0,2.90798641,0.0,2011,7.405616283,10.64290237,0.9670292140000001,72.30000305,0.9445864559999999,0.360889763,0.381771743,0.8158602709999999,0.195323676,0.5307866929999999,1.1947155,1.8354439740000001,1.7759034630000001,0.23980495300000002,,0.34275,0.43118131200000004,,0.478149384,,0.39449206,,0.461379021,0.518140078
AUT,Austria,1562.0,49578.9147,158032.1,403347000000.0,30.8,0.0,101.6417364,0.0,2011,7.470512867,10.70218182,0.944156826,71.54000092,0.9393556120000001,0.129719824,0.702721,0.7894708509999999,0.14523755,0.406920105,1.297982693,1.5584615469999998,1.848879695,0.24749033199999998,0.308,0.302692308,0.34694165,,,,,,,
BEL,Belgium,1560.0,51204.9434,213858.80000000002,492244000000.0,28.1,0.0,364.5397622,0.0,2011,7.111363888,10.627375599999999,0.9369554520000001,70.91999817,0.880153596,-0.01785933,0.711043894,0.834544539,0.225056365,0.289129466,1.139849305,1.472870708,1.62850821,0.229000822,0.281,0.284307692,0.447315395,,,,,,,
CAN,Canada,1713.0,46203.40255,488392.4,1664150000000.0,0.0,0.0,3.7766253069999998,0.0,2011,7.426053523999999,10.63502026,0.921669245,72.36000061,0.9509252909999999,0.245647863,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,,0.3368,0.9614353179999999,,,,,0.38546919799999996,0.418500453,
CHL,Chile,2047.0,25106.35365,194139.7,231892000000.0,47.6,96.70301056,23.07009823,0.0,2011,6.5263347629999995,9.925136566,0.819078863,69.04000092,0.700734138,0.1029673,0.7527555229999999,0.803743482,0.316876173,0.322867334,0.763231277,1.400258541,2.067713022,0.316826075,0.47600000000000003,0.491571429,0.495457828,,,0.22066666199999999,0.213770002,0.221766666,0.12470907699999999,0.126401633
CZE,Czech Republic,1806.0,23101.99456,219838.30000000002,211166000000.0,26.4,0.0,135.8892802,0.0,2011,6.331490992999999,10.26804066,0.91351074,68.23999786,0.787180007,-0.10824278,0.949787855,0.600925982,0.252808869,0.206286699,1.065891027,0.877707362,1.9321316480000001,0.305162191,0.264,0.26416666699999997,0.269167125,,,0.302275181,0.285191953,,,
DEU,Germany,1392.8,45209.41817,1710230.2000000002,3542160000000.0,30.5,0.0,230.3046333,0.0,2011,6.621312141000001,10.6617794,0.947236657,70.98000336,0.906293273,0.028837385,0.677172124,0.7936662440000001,0.165199533,0.42458313700000005,1.095714569,1.617307305,1.850586772,0.279489428,0.305,0.306222222,0.434343398,,,,0.321322799,,0.343591362,0.447487652
DNK,Denmark,1437.0,51993.258839999995,109832.9,326300000000.0,27.3,0.0,131.2885223,0.0,2011,7.78823185,10.70107079,0.961736143,70.62000275,0.9347601529999999,0.292957395,0.220043078,0.7694360020000001,0.174883381,0.471823335,1.325999975,2.083353519,1.500663996,0.19268353300000002,0.273,0.267,0.61589241,,,,,,,
ESP,Spain,1715.5,40452.8193,780448.3,1417320000000.0,35.7,97.78375244,93.50783588,0.0,2011,6.518249035,10.37562275,0.944443703,73.01999664,0.8186509009999999,-0.12566027,0.845543444,0.737269402,0.35610154299999996,0.30866271300000003,0.553485274,1.098813653,1.9559907909999998,0.300079167,0.35700000000000004,0.345384615,0.414737731,,,0.292382956,0.286672652,0.32690984,0.19837963600000003,0.19077895600000003
EST,Estonia,1852.0,20320.643659999998,37099.299999999996,20971721297.0,32.5,99.88578796,31.31490918,0.0,2011,5.486819744,10.10818481,0.9087126259999999,66.95999908,0.7352253790000001,-0.171402186,0.68678391,0.651386082,0.205158427,0.417540222,0.872383595,1.176006198,1.9515161509999999,0.35567346200000005,0.325,0.332461538,0.38115912700000004,,,,0.21057786,,,0.389869928
