COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
GRC,Greece,1943.0,26585.0661,248695.0,244719000000.0,36.0,0.0,83.94788984,1.0,2015,5.622519016,10.09288025,0.834824681,71.80000305,0.531736314,-0.27328527,0.8239596490000001,0.73975122,0.277412534,0.437318921,0.210621193,0.21409152399999998,2.20959115,0.392989546,0.36,0.346384615,0.309100837,,,,,,,
HUN,Hungary,1748.7,20150.148240000002,271023.6,144236000000.0,30.4,0.0,108.7266983,1.1,2015,5.34438324,10.12800789,0.858733833,66.40000153,0.557721376,-0.204279527,0.907530308,0.7068147659999999,0.244536385,0.279211909,0.653114259,0.4530572,1.878782034,0.35154327799999996,0.304,0.29791666699999997,0.2937769,,0.331434399,,0.22461538,,0.28884217100000004,
IRL,Ireland,1741.0,47244.93408,64515.49999999999,318413000000.0,31.8,0.0,68.25311366,0.8,2015,6.830125332000001,11.01564217,0.95294255,72.0,0.8922769429999999,0.22788265300000002,0.40875691200000003,0.7993204,0.225349247,0.571841061,1.121519446,1.685622692,1.7716596130000002,0.259389043,0.318,0.326153846,0.393113405,,,,,,,
ISL,Iceland,1504.0,53261.71745,8458.4,15682299357.0,0.0,0.0,3.299900249,0.8,2015,7.498070717,10.67007351,0.980283201,73.0,0.94048512,0.298925996,0.638661802,0.849020839,0.179504439,0.42722812299999996,1.342286825,1.5931270119999998,1.687232494,0.225022212,,0.280833333,0.391596675,,,,,,,
ISR,Israel,1895.41,34481.718069999995,92236.29999999999,278049000000.0,0.0,0.0,387.25046210000005,1.0,2015,7.07941103,10.37425232,0.8641301990000001,72.69999695,0.7527839540000001,0.105966061,0.7894299029999999,0.696547687,0.256258249,0.405343235,-0.17502349600000003,1.19148016,1.779918075,0.251421779,,0.4112,0.29365477,,,,,0.230252102,,
ITA,Italy,1718.0,37793.07676,1297397.6,2062370000000.0,35.4,0.0,206.4682872,0.8,2015,5.847683907,10.44295979,0.9089865090000001,73.0,0.5747657420000001,-0.066691227,0.912753046,0.6917721029999999,0.329209089,0.260625869,0.705309868,0.367061794,1.670852304,0.285728902,0.354,0.344,0.406529307,,,,,,0.282520324,
JPN,Japan,1719.0,39591.57293,2585715.5,5996410000000.0,0.0,0.0,348.7519201,0.8,2015,5.879684448,10.54225731,0.9226571920000001,74.69999695,0.8316941859999999,-0.166381299,0.654443085,0.7680906059999999,0.17640863399999998,0.35286721600000004,1.02655673,1.522612214,1.80760932,0.30743303899999996,,0.321,0.443165004,,0.407622576,0.375865489,,0.396475762,0.3658759,0.359394193
LTU,Lithuania,1622.0,22741.69964,91558.2,44681433749.0,37.4,0.0,46.36727853,1.7,2015,5.711378098,10.20528412,0.92852354,65.5,0.6414701939999999,-0.257858634,0.92417407,0.594609678,0.276451677,0.367034554,0.8668178320000001,1.021977663,1.917049885,0.33565452700000004,0.374,0.355,0.34593156,,,,0.213082254,,,
LUX,Luxembourg,1514.0,64551.54632,11955.2,61081638753.0,33.8,0.0,234.4049383,0.5,2015,6.701571465,11.45199203,0.933604598,72.59999847,0.932256401,0.046507812999999995,0.37539047,0.7574445609999999,0.19305034,0.694678366,1.493052721,1.838429928,1.5058158640000001,0.224695936,0.33799999999999997,0.316076923,0.29204455,,,,,,,
LVA,Latvia,1708.0,22295.314730000002,64266.6,28247565849.0,34.2,0.0,31.80326472,1.6,2015,5.880597591,10.04406738,0.879372418,65.90000153,0.65639317,-0.080376849,0.808400393,0.6083796020000001,0.22813718,0.298912108,0.6451104879999999,0.8603100779999999,1.725923061,0.293494493,0.342,0.360333333,0.368298113,,,,0.239166662,,,
MEX,Mexico,2140.0,16231.22549,1285798.3,1223120000000.0,0.0,94.47228241,64.76038427,2.6,2015,6.236287117000001,9.737350464,0.760614276,67.40000153,0.719465971,-0.154544055,0.7079719309999999,0.74482131,0.23718804100000002,0.256193161,-0.43703159700000005,-0.161394864,2.147255182,0.344316274,,0.4698,0.335662574,,0.176534802,0.305610567,0.294242173,0.207957417,0.154983923,0.12406203199999999
NLD,Netherlands,1426.0,54892.58871,299182.3999999999,878701000000.0,28.2,0.0,502.8175423,0.8,2015,7.324437141000001,10.74708652,0.8790104390000001,72.0,0.903978765,0.255913168,0.41182211,0.834133685,0.20212863399999997,0.579621017,1.243579149,1.865079641,1.4478803869999999,0.197678044,0.282,0.286333333,0.421282858,,,,,,0.435723454,0.661756992
NOR,Norway,1423.9,50994.10315,85892.40000000001,467661000000.0,27.5,0.0,14.21057257,0.7,2015,7.603433609,11.06676769,0.946833968,72.90000153,0.9476205109999999,0.23833723399999998,0.298814356,0.842887521,0.209409878,0.586871624,1.4247587919999998,1.9314028019999998,1.675640464,0.22037944199999998,0.275,0.272230769,0.37180686,,,,0.647737384,,0.7373046879999999,
POL,Poland,1834.0,24726.12542,796000.1,556287000000.0,31.8,0.0,124.0615696,1.1,2015,6.007021904,10.13855839,0.8930904270000001,68.09999847,0.793462157,-0.099409871,0.810096323,0.73438257,0.240432039,0.211427912,0.9572579859999999,0.817674637,1.87694037,0.312457711,,,0.36295557,,,0.344665885,0.16912402199999998,,0.181796342,0.22211588899999998
PRT,Portugal,1722.0,25307.314619999997,223374.40000000002,228052000000.0,35.5,0.0,113.0725249,0.9,2015,5.080866337,10.18896103,0.866213858,71.80000305,0.8004403109999999,-0.165296271,0.941050768,0.657176316,0.370736867,0.217742205,1.023220062,1.072187662,2.316053867,0.45583838200000004,0.355,0.367538462,0.4268094,,,,,,,
SVN,Slovenia,1687.8,34933.647730000004,44984.299999999996,48969999339.0,25.4,0.0,102.44610870000001,0.8,2015,5.740642071,10.27635193,0.9011637570000001,70.19999695,0.8960072990000001,0.0052524730000000006,0.892197907,0.659085035,0.26141873,0.202604815,0.9700748920000001,0.836637795,2.051262617,0.35732284200000003,0.254,0.2495,0.40486708299999996,,,,0.1529295,,0.17589892399999998,0.19981238199999998
SWE,Sweden,1471.0,43159.39234,187002.50000000003,543061000000.0,29.2,0.0,24.05829958,0.8,2015,7.28892231,10.72939968,0.929459989,72.30000305,0.9350720640000001,0.204892784,0.231964141,0.8179419640000001,0.19099177399999998,0.49930203,1.256156087,1.977543712,1.626471519,0.22314293699999999,0.292,0.27415384600000003,0.365593165,,0.570789635,,0.565906823,0.637184501,0.6797278520000001,0.607827246
USA,United States,1785.0,62106.295229999996,5430335.0,16710500000000.0,0.0,0.0,35.06373087,1.3,2015,6.863946915,10.8781538,0.9035710690000001,68.59999847,0.8487534520000001,0.21095648399999997,0.697542608,0.813907623,0.27468776699999997,0.346936464,0.893903494,1.428244591,1.9536696669999998,0.284627736,,0.40816666700000004,0.649792492,,0.453547865,,0.349512935,0.35518533,0.39345145200000003,0.351394504
