COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
AUS,Australia,1689.38,53977.41911,299232.89999999997,1250080000000.0,0.0,0.0,3.0105735260000004,0.0,2013,7.364169121000001,10.67169762,0.9282051920000001,72.5,0.933379173,0.26027953600000003,0.43153902899999996,0.818835258,0.177142262,0.455871463,1.233743429,1.75117445,1.737719178,0.23596948399999998,,0.34275,0.38120749600000003,,0.478149384,,0.39449206,,0.461379021,0.518140078
AUT,Austria,1525.0,49896.49234,164199.9,406195000000.0,30.8,0.0,102.7471302,0.0,2013,7.498802662,10.6987648,0.9498091940000001,71.81999969,0.921734452,0.166400507,0.6789368990000001,0.787312806,0.162603319,0.417099237,1.410333991,1.620333314,1.861462116,0.248234585,0.308,0.302692308,0.359079063,,,,,,,
BEL,Belgium,1558.0,52221.578030000004,224040.00000000003,494389000000.0,27.7,0.0,368.5405218,0.0,2013,7.10366106,10.61957264,0.9091861840000001,71.16000366,0.8907110690000001,0.013638751000000001,0.573664308,0.797417402,0.21713894600000003,0.554124534,1.156564236,1.502777338,1.5017786030000002,0.21140910699999999,0.27699999999999997,0.284307692,0.330040932,,,,,,,
CAN,Canada,1716.0,48191.59919,508905.7,1735100000000.0,34.0,0.0,3.865654736,0.0,2013,7.593793869,10.6534729,0.936239362,72.68000031,0.9160138959999999,0.308129936,0.406236142,0.8512969020000001,0.262850314,0.505976021,1.257454157,1.79271102,1.658059239,0.21834398800000002,0.34,0.3368,0.552203357,,,,,0.38546919799999996,0.418500453,
CHL,Chile,2015.0,26583.78961,203665.99999999997,254105000000.0,47.3,96.26705933,23.48652279,0.0,2013,6.74015379,9.998721123,0.862404704,69.31999969,0.7368873359999999,0.075803965,0.741154909,0.855062187,0.285453886,0.3072685,0.735013962,1.416341901,2.101323128,0.311761886,0.473,0.491571429,0.466638207,,,0.22066666199999999,0.213770002,0.221766666,0.12470907699999999,0.126401633
CZE,Czech Republic,1763.0,22846.099459999998,224463.2,208464000000.0,26.5,0.0,136.15995859999998,0.0,2013,6.697655677999999,10.25343132,0.8880433440000001,68.51999664,0.725945652,-0.15745765,0.91589886,0.719957829,0.252652615,0.24254262399999998,1.034656048,0.8114690179999999,1.9995489119999998,0.298544586,0.265,0.26416666699999997,0.293449998,,,0.302275181,0.285191953,,,
DEU,Germany,1362.7,46277.16566,1793455.6,3577010000000.0,31.1,0.0,231.15571260000002,0.0,2013,6.965125083999999,10.66696453,0.931420565,71.13999939,0.894312978,0.020103833,0.56579423,0.743487358,0.204995915,0.557760656,1.167083979,1.6397185330000001,1.821391582,0.26150164,0.311,0.306222222,0.37683653799999994,,,,0.321322799,,0.343591362,0.447487652
DNK,Denmark,1426.0,52260.70461,109681.1,330091000000.0,28.5,0.0,133.7206954,0.0,2013,7.588606834,10.70469189,0.9647079709999999,71.05999756,0.920254648,0.210207686,0.170042172,0.862346828,0.19467379199999998,0.391405106,1.312752008,2.026952028,1.721857905,0.22690039899999997,0.285,0.267,0.38676554,,,,,,,
ESP,Spain,1693.5,39391.29533,785360.4,1352360000000.0,36.2,98.07913208,93.20094559999998,0.0,2013,6.150027275,10.33133125,0.928640485,73.26000214,0.759356439,-0.105050765,0.9158225659999999,0.6962958570000001,0.371839374,0.18454965899999998,0.500444174,1.004293799,2.076715708,0.33767584,0.36200000000000004,0.345384615,0.361005485,,,0.292382956,0.286672652,0.32690984,0.19837963600000003,0.19077895600000003
EST,Estonia,1801.0,21459.59192,37366.6,22298647062.0,35.1,0.0,30.31969174,0.0,2013,5.367445946,10.17667389,0.900721788,67.48000336,0.753558695,-0.205494925,0.726356387,0.702255547,0.199018165,0.260637581,0.932532012,1.202389479,1.825384974,0.34008446299999995,0.35100000000000003,0.332461538,0.35857096299999996,,,,0.21057786,,,0.389869928
FIN,Finland,1565.0,43245.26697,108142.40000000001,248646000000.0,27.2,0.0,17.89783145,0.0,2013,7.444635868,10.58223915,0.940869093,71.12000275,0.918625355,0.034851782000000005,0.305770457,0.7689573759999999,0.194672555,0.42059373899999997,1.47943902,2.041153908,1.56188035,0.20979942399999998,0.272,0.275615385,0.412970424,,0.5717192289999999,,0.479229987,,0.5803785920000001,
FRA,France,1526.0,43012.54154,1116660.0999999999,2724620000000.0,32.5,0.0,120.5329508,0.0,2013,6.66712141,10.52809525,0.9076908229999999,72.80000305,0.8777957559999999,-0.12892994300000002,0.6990693809999999,0.8001360890000001,0.20496968899999998,0.395130515,0.833995342,1.3488167519999998,1.922264218,0.288319975,0.325,0.320923077,0.341182142,,,,,,0.18764232100000003,
GBR,United Kingdom,1541.0,44141.38003,1157965.5999999999,2581080000000.0,33.2,0.0,265.06934240000004,0.0,2013,6.918055057999999,10.52939415,0.936884105,71.54000092,0.905278027,0.342439383,0.568043172,0.7757444379999999,0.25209578899999996,0.37923163200000004,0.907619238,1.667560935,2.05475235,0.297013015,0.332,0.341083333,0.480820388,,,,0.304498315,,0.300558358,
GRC,Greece,1970.0,26289.756230000003,228937.09999999998,243990000000.0,36.1,0.0,85.06757952,0.0,2013,4.720251083,10.07517338,0.686650038,71.68000031,0.42596653100000004,-0.27318894899999996,0.941309869,0.689162374,0.48218315799999995,0.143608585,0.257947892,0.378082395,2.284193993,0.48391366,0.361,0.346384615,0.319987625,,,,,,,
