SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference,Reference Period,Value,Flag Codes,Flags
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,6/18/2019,6/18/2019,IDX,Index,0,Units,,,101.3857,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,7/18/2019,7/18/2019,IDX,Index,0,Units,,,101.2636,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,8/18/2019,8/18/2019,IDX,Index,0,Units,,,101.2277,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,9/18/2019,9/18/2019,IDX,Index,0,Units,,,101.1772,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,10/18/2019,10/18/2019,IDX,Index,0,Units,,,101.0829,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,11/18/2019,11/18/2019,IDX,Index,0,Units,,,100.9431,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,12/18/2019,12/18/2019,IDX,Index,0,Units,,,100.6768,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,1/19/2019,1/19/2019,IDX,Index,0,Units,,,100.4115,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,2/19/2019,2/19/2019,IDX,Index,0,Units,,,100.1887,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,3/19/2019,3/19/2019,IDX,Index,0,Units,,,100.0075,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,4/19/2019,4/19/2019,IDX,Index,0,Units,,,99.9521,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,5/19/2019,5/19/2019,IDX,Index,0,Units,,,99.91794,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,6/19/2019,6/19/2019,IDX,Index,0,Units,,,99.82594,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,7/19/2019,7/19/2019,IDX,Index,0,Units,,,99.79411,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",AUT,Austria,M,Monthly,8/19/2019,8/19/2019,IDX,Index,0,Units,,,99.84875,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,9/17/2019,9/17/2019,IDX,Index,0,Units,,,100.5567,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,10/17/2019,10/17/2019,IDX,Index,0,Units,,,100.7399,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,11/17/2019,11/17/2019,IDX,Index,0,Units,,,100.8807,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,12/17/2019,12/17/2019,IDX,Index,0,Units,,,100.9403,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,1/18/2019,1/18/2019,IDX,Index,0,Units,,,101.0387,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,2/18/2019,2/18/2019,IDX,Index,0,Units,,,101.0484,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,3/18/2019,3/18/2019,IDX,Index,0,Units,,,100.9583,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,4/18/2019,4/18/2019,IDX,Index,0,Units,,,100.8755,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,5/18/2019,5/18/2019,IDX,Index,0,Units,,,100.8494,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,6/18/2019,6/18/2019,IDX,Index,0,Units,,,100.8509,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,7/18/2019,7/18/2019,IDX,Index,0,Units,,,100.9019,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,8/18/2019,8/18/2019,IDX,Index,0,Units,,,101.0051,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,9/18/2019,9/18/2019,IDX,Index,0,Units,,,101.0115,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,10/18/2019,10/18/2019,IDX,Index,0,Units,,,100.8759,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,11/18/2019,11/18/2019,IDX,Index,0,Units,,,100.7429,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,12/18/2019,12/18/2019,IDX,Index,0,Units,,,100.6547,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,1/19/2019,1/19/2019,IDX,Index,0,Units,,,100.6842,,
BSCICP03,"OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa",BEL,Belgium,M,Monthly,2/19/2019,2/19/2019,IDX,Index,0,Units,,,100.6761,,
