COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate)_x,"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate)_y,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
LUX,Luxembourg,1513,64453.11023,11923.2,62554580195,0,0,239.5119342,0,2016,6.967340946,11.46080017,0.941260576,72.59999847,0.882365346,0.014104202,0.356336325,0.757949769,0.192300707,0.678977847,1.45981288,1.817982912,1.389065146,0.199368045,,0.316076923,0.311804265,,,,,,,
MEX,Mexico,2146,16135.64876,1347070.5,1.25856E+12,43.4,94.85961914,65.60890095,0,2016,6.824172974,9.753050804,0.893492579,67.69999695,0.751613081,-0.155870572,0.808579445,0.859106421,0.219571486,0.277944058,-0.349140942,-0.213363826,1.959457278,0.287134767,0.434,0.4698,0.432634264,,0.176534802,0.305610567,0.294242173,0.207957417,0.154983923,0.124062032
NLD,Netherlands,1438,55131.595,302904.6,8.97959E+11,0,0,505.500564,0,2016,7.540877342,10.76362324,0.925944209,72.09999847,0.907310009,0.233066663,0.43330425,0.838432372,0.214850739,0.572273314,1.226236224,1.904383183,1.28147161,0.169936672,,0.286333333,0.417054057,,,,,,0.435723454,0.661756992
NOR,Norway,1424.4,50207.05948,85673.7,4.73214E+11,0,0,14.3363165,0,2016,7.596331596,11.06912804,0.959742844,73,0.954352319,0.114254743,0.409666121,0.849625945,0.209262192,0.657646239,1.432126164,1.950139046,1.579264879,0.207898363,,0.272230769,0.349659204,,,,0.647737384,,0.737304688,
POL,Poland,1836,25956.36995,781998.4,5.73324E+11,30.8,0,124.008253,0,2016,6.162076473,10.16722965,0.91739881,68.5,0.870707512,-0.097280823,0.847753942,0.77662462,0.223536044,0.382713199,0.675346136,0.756335139,1.84584868,0.299549788,,,0.312157542,,,0.344665885,0.169124022,,0.181796342,0.222115889
PRT,Portugal,1725,25349.78641,227534.3,2.32444E+11,0,0,112.7163894,0,2016,5.446637154,10.20817947,0.90463537,72,0.83806932,-0.22725527,0.922192395,0.683566213,0.326252729,0.354542404,1.065478444,1.019317985,2.132012844,0.391436547,,0.367538462,0.45052737,,,,,,,
SWE,Sweden,1482,43735.72742,187046.1,5.57637E+11,0,0,24.36248803,0,2016,7.368744373,10.74867249,0.912060678,72.40000153,0.918036401,0.138581902,0.246182442,0.815695107,0.200606912,0.485791326,1.290886164,1.959754944,1.63049984,0.221272409,,0.274153846,0.425117075,,0.570789635,,0.565906823,0.637184501,0.679727852,0.607827246
USA,United States,1781,62153.12401,5493566.7,1.69723E+13,41.5,0,35.31830199,0,2016,6.803599834,10.88555431,0.896751285,68.5,0.757893085,0.135592237,0.738919556,0.80567354,0.264203817,0.297205657,0.7557652,1.491425753,1.972202778,0.289876372,0.415,0.408166667,0.69331491,,0.453547865,,0.349512935,0.35518533,0.393451452,0.351394504
AUS,Australia,1683.55,53946.26631,322108.1,1.3122E+12,0,0,3.100112596,0.9,2015,7.309060574,10.6901989,0.95186156,72.69999695,0.921871006,0.323258132,0.356554389,0.790050209,0.209636971,0.478556842,1.120239973,1.765201688,1.686917663,0.230798155,,0.34275,0.416127056,,0.478149384,,0.39449206,,0.461379021,0.518140078
AUT,Austria,1500,50373.81106,171362,4.13555E+11,30.5,0,104.7307927,0.9,2015,7.07644701,10.69885254,0.928110301,72.09999847,0.900305152,0.09687189,0.55747962,0.798262954,0.164469033,0.454789877,1.263259649,1.564293861,1.762816906,0.249110445,0.305,0.302692308,0.319265366,,,,,,,
BEL,Belgium,1545,52120.10915,226377.6,5.09186E+11,27.7,0,372.3314399,0.9,2015,6.904219151,10.63845348,0.885208845,71.40000153,0.869474947,0.059581742,0.46878463,0.80517751,0.239958704,0.459024221,0.987220764,1.440813541,1.511810899,0.218969136,0.277,0.284307692,0.403824568,,,,,,,
CAN,Canada,1712,48979.30251,532929.5,1.80251E+12,0,0,3.940449068,1.1,2015,7.412772655,10.67242527,0.939067066,73,0.931468964,0.245131716,0.427152246,0.845327616,0.286280215,0.644104123,1.370862961,1.80216682,1.611453891,0.217388824,,0.3368,0.667739451,,,,,0.385469198,0.418500453,
CHE,Switzerland,1589.5,64222.83942,139679.3,6.34045E+11,32.3,0,209.5960066,0.7,2015,7.572136879,10.95543003,0.93833375,73.19999695,0.927802444,0.103407413,0.209533513,0.808529079,0.165759072,0.787730038,1.44887805,1.955272675,1.799911141,0.237701878,0.323,0.3281,0.496126264,,,0.265255481,0.378479093,,0.518936038,
CHL,Chile,1988,26759.21876,210741,2.64555E+11,47.7,96.87413025,23.88959756,1.5,2015,6.532749653,10.0220089,0.827141881,69.59999847,0.76888144,0.03110862,0.811511338,0.803024709,0.332746744,0.300492525,0.718928695,1.263902068,1.938147187,0.296681672,0.477,0.491571429,0.392625511,,,0.220666662,0.213770002,0.221766666,0.124709077,0.126401633
CZE,Czech Republic,1756,23962.81256,228471.2,2.25493E+11,25.9,0,136.589289,0.9,2015,6.608017445,10.32893276,0.911362588,68.80000305,0.808484197,-0.147829607,0.886467457,0.750773847,0.206080526,0.435425878,1.010938764,0.931855083,1.802234173,0.272734463,0.259,0.264166667,0.265170455,,,0.302275181,0.285191953,,,
DEU,Germany,1369.8,48034.59454,1856242.1,3.71848E+12,31.7,0,234.1536686,0.8,2015,7.037137508,10.69053364,0.925923228,71.30000305,0.889428854,0.173545972,0.412168294,0.764539361,0.20270516,0.628003657,1.060863018,1.773268819,1.6488446,0.234306157,0.317,0.306222222,0.390182853,,,,0.321322799,,0.343591362,0.447487652
DNK,Denmark,1407,54196.8862,109631.9,3.43294E+11,28.2,0,135.3532508,0.6,2015,7.514424801,10.72455978,0.9597013,71.5,0.94143641,0.217952549,0.191016391,0.829217494,0.217577577,0.579888642,1.225186348,1.959059715,1.61830771,0.215360165,0.282,0.267,0.537219882,,,,,,,
ESP,Spain,1699.6,40087.62768,849930.3,1.42099E+12,36.2,98.14325714,92.95268301,0.8,2015,6.380663395,10.38254833,0.95647186,73.5,0.73200047,-0.075814046,0.821664929,0.732269406,0.284693688,0.277751327,0.648124874,0.866850436,1.658345461,0.259901732,0.362,0.345384615,0.389747888,,,0.292382956,0.286672652,0.32690984,0.198379636,0.190778956
EST,Estonia,1788,23436.37665,36934.2,23378735867,32.7,0,30.26011042,1.3,2015,5.628908634,10.22374249,0.917929649,68,0.814692378,-0.16834341,0.568734467,0.72333771,0.182694778,0.3366898,0.90385133,1.3406986,1.893060207,0.336310357,0.327,0.332461538,0.405378938,,,,0.21057786,,,0.389869928
FIN,Finland,1563,43617.28448,109739.5,2.48312E+11,27.1,0,18.03011089,0.8,2015,7.447925568,10.56982231,0.947800577,71.59999847,0.929861903,0.10706687,0.223369658,0.75131619,0.191057593,0.55760026,1.29203558,1.997026682,1.573618293,0.21128276,0.271,0.275615385,0.45906952,,0.571719229,,0.479229987,,0.580378592,
FRA,France,1519,43731.65687,1164506.8,2.78129E+12,32.7,0,121.6190587,0.8,2015,6.357625008,10.53917408,0.895719409,73.19999695,0.817036211,-0.143634379,0.640602052,0.785965919,0.215400279,0.328252703,0.656632304,1.321429491,1.847275615,0.290560633,0.327,0.320923077,0.329389542,,,,,,0.187642321,
GBR,United Kingdom,1531,44125.73619,1210706.8,2.71958E+12,33.2,0,269.2053941,0.8,2015,6.515445232,10.56718445,0.935985744,71.69999695,0.832926095,0.295849711,0.456133723,0.797785103,0.219261855,0.456811696,0.907748461,1.819778919,1.753814697,0.269178033,0.332,0.341083333,0.382688403,,,,0.304498315,,0.300558358,
GRC,Greece,1943,26585.0661,248695,2.44719E+11,36,0,83.94788984,1,2015,5.622519016,10.09288025,0.834824681,71.80000305,0.531736314,-0.27328527,0.823959649,0.73975122,0.277412534,0.437318921,0.210621193,0.214091524,2.20959115,0.392989546,0.36,0.346384615,0.309100837,,,,,,,
HUN,Hungary,1748.7,20150.14824,271023.6,1.44236E+11,30.4,0,108.7266983,1.1,2015,5.34438324,10.12800789,0.858733833,66.40000153,0.557721376,-0.204279527,0.907530308,0.706814766,0.244536385,0.279211909,0.653114259,0.4530572,1.878782034,0.351543278,0.304,0.297916667,0.2937769,,0.331434399,,0.22461538,,0.288842171,
